id,bad,wealth,max_unpay_day,score,age,period,education
217,0,5,,310,22,6,
218,0,5,,364,33,10,4
219,0,7,,346,24,10,3
220,0,6,,411,24,6,4
221,0,4,,335,25,6,4
222,1,7,,218,22,10,2
223,0,4,,380,26,6,4
224,0,5,,245,24,6,4
225,0,5,,346,28,6,4
226,0,10,,231,27,6,
227,0,7,,334,25,10,4
228,0,6,,316,26,6,4
229,0,6,,275,23,6,4
230,0,3,,226,23,6,4
231,0,7,,316,22,6,2
232,0,5,,358,27,8,4
233,0,3,,325,32,10,3
234,0,5,,350,30,6,4
235,0,4,,356,25,10,4
236,0,3,,304,23,6,2
237,1,3,,248,23,10,2
238,1,4,188,217,22,4,4
239,0,5,,205,23,10,4
240,0,3,,342,27,,4
241,1,6,,351,25,6,3
242,0,4,,339,24,10,2
243,0,3,,344,26,10,4
244,0,6,,418,26,6,5
245,0,5,,328,32,10,4
246,0,4,,378,30,6,
247,0,5,,335,26,6,1
248,0,4,,351,23,6,4
249,0,1,,229,24,10,4
250,0,6,,321,25,6,1
251,1,6,,273,34,,2
252,0,,,0,30,8,4
253,0,5,,318,26,6,4
254,0,9,,217,29,8,4
255,0,8,,280,30,,4
256,0,4,,343,35,,4
257,0,3,,309,40,4,4
258,0,3,,278,26,6,4
259,1,,193,0,23,10,2
260,0,7,,336,24,6,2
261,0,10,,405,25,6,4
262,0,3,,306,26,6,4
263,0,3,,310,27,6,4
264,0,4,,338,22,10,1
265,0,2,,227,21,6,4
266,0,4,,287,27,10,5
267,0,4,193,227,26,8,2
268,0,5,,388,25,10,
269,0,3,,291,26,4,4
270,0,4,,342,30,10,2
271,0,4,,350,25,10,2
272,0,1,,215,39,10,
273,0,6,,328,23,,3
274,0,4,,260,32,,3
275,0,3,,292,35,4,4
276,0,3,,303,34,,4
277,0,5,,364,25,6,4
278,0,1,,193,29,6,
279,0,3,,310,31,,4
280,0,5,,315,30,6,4
281,0,5,,251,23,6,3
282,0,3,,307,26,6,4
283,0,3,,297,24,6,4
284,0,5,193,245,34,,
285,0,7,,381,25,10,2
