id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
211,1,优,6.85,5,290.2,100,58.04,33.2,33.2,2000,50,1020,248.52,6,518
212,0,良,2.05,2,80,80,80,0,0,500,500,400,400,0,0
213,1,优,7.18,2,35,35,35,0,0,5000,5000,1750,1750,0,0
214,0,优,26,0,0,0,0,0,0,0,0,0,0,2,135
215,0,良,20.66,8,65,35,32.5,0,0,1000,100,300,167.5,4,235
216,0,,7.26,4,207,80,69,0,0,500,150,400,290.17,2,1229
217,1,优,2.87,2,0,0,0,0,0,0,0,0,0,0,0
218,0,良,2.81,2,146,95,73,0,0,50,50,47.5,36.5,0,0
219,0,,16.15,5,140,75,35,10,10,1500,10,450,222.12,0,0
220,0,优,3.3,1,0,0,0,0,0,0,0,0,0,3,973
221,0,良,7.15,1,90,90,90,0,0,300,300,270,270,6,1009
222,0,优,0.12,1,50,50,50,0,0,500,500,250,250,0,0
223,0,优,6.51,4,147.77,50,36.94,47.77,35,830,50,106,53,9,223
224,0,良,17.38,1,100,100,100,0,0,50,50,50,50,16,266
225,0,,7.88,1,0,0,0,0,0,0,0,0,0,3,126
226,0,优,8.38,2,227.9,51,32.56,42,22,1008,50,510,177.04,3,221
227,0,良,3.68,3,151.8,80,50.6,0,0,500,10,400,139.27,2,557
228,0,良,13.04,7,177.91,91.09,44.48,94.09,91.09,2000,100,300,100.5,0,0
229,0,优,5.93,1,60,60,60,0,0,50,50,30,30,8,251
230,0,良,4.46,6,185,85,61.67,0,0,1000,300,850,416.67,2,180
231,0,,2.9,2,130,80,65,0,0,508,498,406.4,327.7,11,338
232,0,优,14.13,7,366,60,45.75,55,30,3600,20,1005,392.75,2,255
233,0,良,11.93,3,84.46,40,21.12,0,0,6720,50,400,193.63,10,485
234,0,优,4.82,1,90,90,90,0,0,100,100,90,90,3,256
235,0,优,5.02,1,0,0,0,0,0,108,108,0,0,13,47
