id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
495,0,,14.14,5,268.3,80,38.33,131.2,80,2000,80,1600,410.86,6,1061
496,1,优,1.88,1,60,60,60,0,0,20,20,12,12,0,0
497,0,良,1.4,0,0,0,0,0,0,0,0,0,0,0,0
498,0,优,4,5,145.44,60,48.48,0,0,900,500,500,316.67,0,0
499,0,优,10.98,1,0,0,0,0,0,0,0,0,0,0,0
500,0,良,5.57,1,65,65,65,0,0,200,200,130,130,15,735
501,0,,8.27,23,0,0,0,0,0,0,0,0,0,0,0
502,0,,24.53,6,195,80,65,45,45,1000,30,800,423.67,0,0
503,0,良,4.85,3,169,99,84.5,0,0,10000,100,9900,4985,0,0
504,0,优,3.5,2,25,25,25,25,25,10,10,2.5,2.5,11,199
505,0,优,1.71,5,409,100,68.17,70,70,1000,50,1000,305.67,3,584
506,0,良,5.4,1,10,10,10,10,10,1000,1000,100,100,0,0
507,0,,5.48,0,0,0,0,0,0,0,0,0,0,0,0
508,0,优,10.18,4,161.63,90,32.33,67,48,2000,50,446,144.25,1,94
509,0,良,2.1,1,40,40,40,40,40,50,50,20,20,0,0
510,1,良,16.75,3,155.91,65.91,38.98,90,50,2500,30,725,403.75,26,50
511,0,优,0.18,1,0,0,0,0,0,0,0,0,0,0,0
512,0,良,32.48,2,2,2,2,2,2,3000,3000,60,60,2,32
513,0,优,0.58,7,150,100,75,0,0,2500,1500,1500,1375,0,0
514,0,优,3.52,3,130,80,43.33,0,0,2160,50,2160,995,0,0
515,0,良,1.65,3,150,50,50,100,50,30,10,15,8.33,4,50
516,0,良,11.31,6,100.75,60,16.79,18.5,17.5,1000,3,300,71.64,1,678
517,1,良,6.9,1,90,90,90,90,90,50,50,45,45,0,0
518,0,良,13.67,2,133.33,100,66.66,100,100,50,3,16.6668,9.83,0,0
519,0,优,9.08,1,0,0,0,0,0,0,0,0,0,1,243
520,0,优,20.18,0,0,0,0,0,0,0,0,0,0,4,318
521,0,良,4.18,4,0,0,0,0,0,0,0,0,0,9,323
522,0,优,18.2,1,88.62,44.31,44.31,0,0,3000,73.3,1329.3,680.89,0,0
523,0,优,2.28,2,,100,75.5,100,100,100,10,51,30.5,0,0
524,1,良,2.49,4,,100,50,0,0,100,50,100,46.67,0,0
525,0,良,4.7,1,,60,60,0,0,2000,2000,1200,1200,4,221
526,0,优,7.06,1,,50,40,50,50,60,50,25,21.5,6,335
527,0,良,15.93,6,,52,52,0,0,650,650,338,338,8,953
528,0,良,16.33,3,,100,55,0,0,100,50,100,52.5,0,0
529,0,优,9.42,2,,0,0,0,0,0,0,0,0,10,135
530,0,,6.52,18,,80,61,122.01,80,2000,2000,840.2,440.1,18,272
531,0,良,2.14,2,,50,45,0,0,100,100,50,45,9,420
532,0,,2.04,2,,50.2,50.2,0,0,2500,2500,1255,1255,16,45
533,0,良,7.94,4,,70.5,67.75,0,0,200,50,141,113,0,0
534,0,良,13.74,3,,0,0,0,0,0,0,0,0,15,22
535,0,优,3.88,7,,100,72,144,100,500,123,220,171.5,0,0
536,0,良,33.26,1,,0,0,0,0,0,0,0,0,8,334
537,0,优,4.42,7,,0,0,0,0,0,0,0,0,12,17
538,0,优,8.43,1,,0,0,0,0,0,0,0,0,0,0
539,0,良,17.07,2,,0,0,0,0,0,0,0,0,2,207
540,0,良,7.63,1,,73.5,73.5,0,0,8010,8010,5887.35,5887.35,0,0
541,0,优,14.38,6,,100,59.71,230,100,1000,50,800,173.71,8,130
542,0,良,11.83,2,,90,33.25,31,31,200,80,180,64.1,6,36
543,0,良,11.39,3,,100,80,60,60,500,,300,150,0,0
544,0,优,7.79,3,0,0,0,0,0,0,,0,0,12,232
545,0,良,0.93,1,90,90,90,0,0,200,,180,180,0,0
546,0,优,7.06,47,370.45,90,46.31,100,90,3000,,500,181.99,0,0
547,0,优,11,1,90,90,90,0,0,2500,,2250,2250,26,605
548,0,良,0.16,1,100,100,100,0,0,1000,,1000,1000,0,0
549,0,,9.12,2,92,92,92,0,0,50,,46,46,10,181
550,0,优,9.43,1,86,80,,0,0,1000,,80,43.67,3,260
551,0,良,10,100,301.63,49.02,,74.5,45,200000,,26127.3168,2854.63,0,0
552,0,,11.28,2,,50,,30,30,500,50,250,138.33,7,113
553,0,优,15.97,3,,30.11,,0,0,2188,2188,658.8,658.8,12,83
554,0,良,11.75,1,,10,,0,0,2000,2000,200,200,0,0
555,0,优,10.97,1,,50,,0,0,50,50,25,25,4,55
556,0,优,50.84,4,,0,0,0,0,0,0,0,0,17,148
557,0,良,7.89,2,,95,72.5,50,50,5050,50,4797.5,2411.25,2,366
558,0,良,14.25,0,,0,0,0,0,0,0,0,0,4,511
559,0,优,0.9,1,,100,100,0,0,500,500,500,500,0,0
560,0,良,18.61,5,250,100,83.33,0,0,460,100,400,279.33,10,367
561,0,优,0.21,2,100,100,100,100,100,15,15,15,15,0,0
562,0,优,6.92,0,0,0,0,0,0,0,0,0,0,0,0
563,0,良,15.4,1,93.33,60,46.66,60,60,600,50,200,115,11,67
564,0,优,1.12,1,100,100,100,0,0,80,80,80,80,0,0
565,0,优,8.8,3,80,80,80,0,0,50,50,40,40,0,0
566,0,良,5.93,3,60,60,60,60,60,100,100,60,60,0,0
567,0,良,15.3,2,58.06,51,29.03,0,0,2150,0,1096.5,1048.25,14,136
568,0,优,2.13,0,100,100,100,100,100,0,0,0,0,0,0
569,0,良,0.19,4,210.32,80.32,70.11,50,50,2500,3,2000,803.17,0,0
570,0,良,10.64,3,89.81,45,22.45,28,28,1000,300,450,160.25,9,27
571,0,优,11.74,2,80,80,80,0,0,10,10,8,8,4,3396
572,0,,,2,105,40,26.25,65,40,6118,50,2447.2,629.3,0,0
573,0,良,,4,226.49,100,56.62,125,100,1000,8,500,143.12,0,0
574,0,,,1,100,100,100,0,0,200,200,200,200,0,0
575,0,良,,2,100,100,100,0,0,400,400,400,400,5,1
576,0,良,,2,10,5,5,5,5,500,1,25,12.53,14,133
577,0,优,,1,100,100,100,0,0,800,800,800,800,2,479
578,0,良,,5,118.6,50,39.53,68.6,48.6,5200,50,2600,1194,9,123
579,0,优,,11,321.58,93.55,53.6,25,25,1200,60,1100,258.33,0,0
580,0,优,,25,307.95,85,34.22,105,85,10000,50,5840,1857,0,0
581,0,良,,7,325.67,94.17,81.42,0,0,300,200,282.5,186.38,0,0
582,0,良,,1,95,95,95,0,0,1000,1000,950,950,0,0
583,0,优,,2,150,100,75,0,0,1000,100,500,300,21,16
584,0,良,,1,100,100,100,0,0,66.6,66.6,66.6,66.6,5,687
585,0,良,,9,150,80,37.5,60,50,1000,3,500,175.6,5,584
586,0,优,,3,160,100,80,0,0,1000,50,1000,515,9,287
587,0,,,2,60,60,60,0,0,1000,1000,600,600,0,0
588,0,,,4,101,90,33.67,0,0,1480,500,450,174.93,31,26
589,0,,,5,150,100,75,0,0,,100,100,75,0,0
590,0,,,3,181,100,60.33,0,0,,100,600,403.33,0,0
591,0,,,3,116.75,47.75,29.19,49,39,,100,477.5,224.38,0,0
592,0,,,9,171.63,100,57.21,160,100,,30,759.9,283.3,6,543
593,0,良,,3,335,100,83.75,100,100,,18,274.55,82.64,0,0
594,0,优,1.32,2,0,0,0,0,0,,0,0,0,0,0
595,0,优,9.09,2,0,0,0,0,0,,0,0,0,3,902
596,0,良,16.39,5,191,70,38.2,60,60,,100,2870,696.6,0,0
597,0,,30.42,8,125,50,25,5,5,,50,900,301,5,663
598,0,优,2.19,12,285,90,47.5,30,20,,10,850,318.5,2,12
599,0,良,7.15,2,100,100,100,0,0,,50,50,50,14,420
600,0,,13.96,3,100,100,100,0,0,,1630,1630,1630,5,104
601,0,优,8,2,110,100,55,10,10,,500,1000,525,10,33
602,0,良,8.27,2,105,50,35,30,30,,50,315,196.67,5,424
603,0,优,12.58,2,128.27,100,64.14,0,0,,998,998,726.28,11,601
604,0,优,15.3,4,167.2,70,55.73,70,70,,100,600,347.33,6,213
605,0,良,0.11,6,110,100,55,0,0,,200,500,350,0,0
606,0,良,7.33,1,100,100,100,0,0,,66,66,66,4,174
607,0,优,8.98,7,107,80,53.5,0,0,,50,80,46.75,8,308
608,0,良,21.35,10,260.5,100,52.1,80,45,80000,100,4000,956,32,483
609,0,优,8.6,1,50,50,50,0,0,100,100,50,50,0,0
610,0,优,6.35,2,81.53,80,40.77,0,0,4900,100,80,77.5,4,852
611,0,良,6.27,1,80,80,80,0,0,50,50,40,40,9,184
612,0,优,23.3,2,74,49,37,49,49,100,50,25,24.75,3,233
613,0,优,11.89,4,240,90,60,180,90,3000,50,1800,487.5,0,0
614,0,良,6.3,1,40,40,40,0,0,100,100,40,40,4,896
615,0,良,5.44,5,185,100,46.25,0,0,300,100,100,61.67,7,518
616,0,优,17.93,13,210,90,52.5,0,0,500,50,250,93.75,3,515
617,0,良,12.46,11,483.33,80,60.42,20,20,5000,100,4000,838.45,10,135
618,1,良,9.7,2,0,0,0,0,0,0,0,0,0,56,1566
619,0,优,10.08,4,192.3,60,48.08,81.3,48,1000,50,600,166.54,4,290
620,0,,10.75,1,94.34,94.34,94.34,0,0,530,530,500,500,23,291
621,0,良,10.25,2,0,0,0,0,0,0,0,0,0,12,619
622,0,,3.69,1,100,100,100,0,0,500,500,500,500,13,98
623,0,良,7.04,2,0,0,0,0,0,3480,3480,1232.4,1232.4,0,0
624,0,良,7.18,3,70,70,70,0,0,100,100,70,70,2,70
625,0,优,12.35,4,290,99,72.5,50,50,501,50,495.99,180.5,8,91
626,0,良,3.35,7,176.4,95,44.1,19,19,100,50,50,32.23,0,0
627,0,优,7.99,3,159,99,53,20,20,300,5,120,73.33,6,657
628,0,优,7.84,2,50,50,50,0,0,50,50,25,25,0,0
629,1,良,3.71,5,359,100,51.29,55,35,2000,10,500,167.77,0,0
630,0,良,4.28,5,180.91,98,60.3,60,60,1000,50,980,413.03,11,506
631,0,优,4.42,5,144,72,72,144,72,50,50,36,36,5,1011
632,0,良,13.89,5,100,100,100,0,0,450,450,450,450,10,52
633,0,良,7.6,4,70,70,35,0,0,2272.73,50,83.33,59.16,0,0
634,0,优,7.21,1,0,0,0,0,0,0,0,0,0,8,830
635,0,,6.74,1,95,95,95,0,0,200,200,190,190,0,0
636,0,优,10.88,4,111.23,60.23,37.08,51,51,12960,50,6011.69415,2213.17,0,0
637,0,良,5.35,6,386.64,88.64,64.44,138,68,1232,50,1092,501.17,0,0
638,0,,3.47,4,150,100,75,0,0,100,10,50,30,8,315
639,0,优,8.39,7,240,100,60,0,0,2000,50,2000,617.5,0,0
640,0,良,3.85,2,100,100,100,100,100,1000,1000,1000,1000,8,844
641,0,,1.66,1,0,0,0,0,0,0,0,0,0,0,0
642,0,优,6.04,20,254,90,42.33,70,70,60000,0,54000,10480,0,0
643,0,良,3.68,5,158.3,100,52.77,0,0,300,50,300,122.22,9,277
644,0,优,8.04,1,80,80,80,0,0,200,200,160,160,2,367
645,0,优,16.58,1,0,0,0,0,0,0,0,0,0,0,0
646,1,良,4.66,1,100,100,100,0,0,10,10,10,10,3,491
647,0,,11.99,1,50,50,50,0,0,500,500,250,250,0,0
648,0,优,7.54,3,190,100,95,0,0,100,60,100,77,3,393
649,0,良,16.83,3,70,70,70,0,0,50,50,35,35,4,174
650,0,良,2.76,1,100,100,100,0,0,1000,1000,1000,1000,0,0
651,0,优,13.35,2,190,100,95,0,0,1000,30,900,465,5,333
652,1,优,2.5,1,50,50,50,50,50,10,10,5,5,3,33
653,0,良,10.81,4,211,60,52.75,110,60,500,3,255,94.7,8,379
654,0,优,7.82,0,94,94,94,0,0,900,900,846,846,0,0
655,0,良,14.33,1,0,0,0,0,0,0,0,0,0,2,637
656,0,优,8.21,3,100,100,100,0,0,300,300,300,300,0,0
657,0,优,17.82,10,56.76,56.76,56.76,0,0,7664.5,7664.5,4350,4350,22,174
658,0,良,11.16,0,0,0,0,0,0,0,0,0,0,4,90
659,0,,8.47,9,302.4,33.4,27.49,33,33,28000,5,1250.7,164.59,8,551
660,0,优,3.02,1,0,0,0,0,0,0,0,0,0,0,0
661,0,良,2.35,2,0,0,0,0,0,0,0,0,0,0,0
662,0,良,1.55,6,278,100,92.67,0,0,5000,1000,4000,1993.33,13,542
663,0,优,12.87,2,146,70,48.67,0,0,50,0,195,85.17,16,359
664,0,良,3.84,4,0,0,0,0,0,0,0,0,0,0,0
665,0,,4.61,2,20,20,20,0,0,50,50,10,10,1,762
666,1,良,7.02,4,80,80,80,0,0,1000,1000,800,800,10,117
667,0,良,6,2,83.33,50,41.66,33.33,33.33,50,30,25,17.5,0,0
668,0,良,9.08,4,5,5,5,0,0,100,100,5,5,0,0
669,0,优,4.6,5,53.75,43.75,26.88,10,10,100,52.4778,22.9588,16.48,23,45
670,0,良,24.73,5,0,0,0,0,0,0,0,0,0,4,104
671,1,优,3.9,4,100,100,100,0,0,1000,1000,1000,1000,0,0
672,0,,20.98,2,22,22,22,0,0,730,730,160.6,160.6,5,159
673,0,良,11.41,12,437.27,77.27,54.66,427.27,77.27,2116,15,211.6,69.83,0,0
674,0,优,2.47,2,199.9,100,99.95,0,0,3000,200,2997,1598.5,0,0
675,0,优,13.4,2,100,100,100,0,0,0,0,0,0,11,1140
676,0,良,2.57,3,0,0,0,0,0,0,0,0,0,7,419
677,0,良,1.98,3,25,25,25,0,0,1038,1038,259.5,259.5,18,45
678,0,优,11.42,7,130,55,32.5,0,0,6800,50,340,136.25,0,0
679,0,良,1.6,4,115,70,38.33,0,0,1000,100,350,191.67,2,174
680,0,优,0.14,1,100,100,100,0,0,1000,1000,1000,1000,0,0
681,1,优,4.34,1,100,100,100,100,100,50,50,50,50,0,0
682,0,良,5.1,3,101.67,51.67,50.84,0,,300,10,155,80,0,0
683,0,,34.89,9,0,0,0,0,,0,0,0,0,8,144
684,0,优,7.06,1,20,20,20,0,,250,250,50,50,11,637
685,0,,2.48,3,170,100,85,0,,100,50,100,67.5,0,0
686,0,良,3.31,0,0,0,0,0,,0,0,0,0,0,0
687,0,优,1.22,1,90,90,90,90,,100,100,90,90,0,0
688,0,良,9.77,5,255.92,100,85.31,0,,1200,79.8,1032,395.93,0,0
689,0,优,0.06,1,100,100,100,0,,500,500,500,500,0,0
690,0,优,8.36,19,202.71,90,33.78,174.48,,5321.7,100,970,298.74,7,269
691,0,良,12.36,3,0,0,0,0,,0,0,0,0,0,0
692,0,优,5.92,3,195,95,65,0,,100,3,95,40.83,10,220
693,0,优,13.98,1,50,40,25,40,,806,5,80.6,41.3,0,0
694,0,良,7.85,3,129,99,64.5,0,,100,50,99,57,0,0
695,0,,8.28,8,457,99,38.08,0,,3000,50,2700,615.93,17,67
696,0,优,8.89,1,0,0,0,0,,0,0,0,0,0,0
697,1,良,1.65,1,51,50,25.5,0,,50,50,25,12.75,0,0
698,0,良,2.93,6,188.57,100,47.14,28.57,,2000,60,2000,805,5,225
699,0,,19.86,1,80,80,80,0,,50,50,40,40,0,0
700,0,良,2.7,1,0,0,0,0,,2000,2000,0,0,0,0
701,0,良,8.63,3,60,60,60,0,,100,100,60,60,0,0
702,0,优,3.56,1,60,60,60,0,,1000,1000,600,600,5,114
703,0,良,7.87,5,240,100,80,100,,100,10,50,35,0,0
704,0,,18.07,1,0,0,0,0,0,0,0,0,0,18,37
705,0,优,5.93,1,100,100,100,0,0,50,50,50,50,7,80
706,0,良,1.3,13,230,70,46,80,70,100,3,50,21.76,0,0
707,0,良,23.54,9,450,100,75,0,0,600,100,360,125,10,323
708,0,优,0.5,1,100,100,100,0,0,100,100,100,100,0,0
709,0,良,4.79,1,95,95,95,0,0,50,50,47.5,47.5,0,0
710,0,良,9.67,4,0,0,0,0,0,0,0,0,0,15,225
711,0,优,15.66,2,100,100,100,0,0,12000,12000,12000,12000,6,5
712,0,良,12.58,2,25,20,12.5,0,0,2000,100,100,60,5,448
713,0,,,3,65,30,16.25,45,30,1000,10,200,53.88,0,0
714,0,优,,1,0,0,0,0,0,0,0,0,0,0,0
715,0,良,,1,20,20,20,0,0,50,50,10,10,13,473
716,0,,,1,0,0,0,0,0,0,0,0,0,3,819
717,0,优,,3,225.16,100,75.05,100,100,1200,30,,433.27,7,149
718,0,良,,3,1.1,0.55,0.55,0,0,3000,3000,,16.5,0,0
719,0,,,18,457.7,99.74,45.77,0,0,271678.4786,300,,5825.88,20,292
720,0,优,3.97,2,100,100,100,0,,1500,1500,,1500,1,139
721,0,,3.07,1,0,0,0,0,,0,0,,0,5,55
722,1,优,13.12,10,595,,74.38,0,,5000,100,,860,11,103
723,1,优,18.3,,280,,93.33,90,,510,30,,195.33,0,0
724,0,良,1.28,,100,,100,0,,600,600,600,600,27,348
725,0,良,9.53,,85,,85,0,,300,300,255,255,11,514
726,0,优,3.16,,90,,90,0,,3,3,2.7,2.7,0,0
727,0,良,9.28,16,163,,54.33,0,,3000,300,1005,668,0,0
728,0,,1.61,7,177.74,63.67,25.39,70,51,6000,1,3820,782.64,0,0
729,0,优,25.84,1,35,35,35,0,0,1000,1000,350,350,6,898
730,0,良,5.55,2,130,100,65,30,30,500,12,500,251.8,0,0
731,0,优,11.32,2,20,20,20,0,0,5050,5050,1010,1010,4,147
732,0,优,3.66,2,50,50,50,0,0,5,5,2.5,2.5,0,0
733,0,良,14.92,1,0,0,0,0,0,500,500,0,0,8,793
734,0,,7.39,6,400,99,80,80,80,600,50,306,121.5,6,642
735,1,,6.22,1,60,60,60,0,0,1000,1000,72,72,0,0
736,0,良,5.91,17,220,100,73.33,30,30,1000,100,1000,463.33,18,732
737,1,良,0.79,3,124,65,41.33,55,55,1000,100,650,241.67,0,0
738,0,优,9.55,3,110,60,55,0,0,5018,50,1210.8,617.9,1,330
739,0,良,8.97,1,80,80,80,0,0,50,50,40,40,0,0
740,0,优,5.52,4,213.33,100,53.33,0,0,3000,500,1600,675,4,67
741,1,良,4.09,3,0,0,0,0,0,0,0,0,0,5,43
742,0,良,7.82,1,140,100,70,40,40,100,50,100,60,0,0
743,1,优,4.31,3,190,100,63.33,0,0,500,3,100,46,13,429
744,0,优,8.05,10,252.29,90,31.54,69,49,28000,300,2952,667.55,3,368
745,0,良,12.26,3,105,80,52.5,25,25,308,208,166.4,121.7,8,36
746,0,,2.9,0,0,0,0,0,0,0,0,8,8,0,0
747,0,优,7.59,2,51,51,51,0,0,1045,1045,76.5,76.5,0,0
748,0,,5.45,11,65,65,65,65,65,100,100,65,65,0,0
749,0,,4.12,1,80,80,80,0,0,500,500,400,400,8,293
750,0,优,7.04,3,0,0,0,0,0,0,0,0,0,7,53
751,0,良,10.5,3,170,90,85,0,0,50,10,45,26.5,0,0
752,1,优,13.95,5,413,100,68.83,136,95,900,30,900,230.88,13,78
753,0,优,13.73,3,38.76,30,12.92,30,30,2580,500,150,113.99,0,0
754,0,良,2.07,6,50,40,16.67,0,0,300,100,120,65,0,0
755,0,优,7.35,6,0,0,0,0,0,0,0,0,0,0,0
756,1,优,13.12,2,0,0,0,0,0,0,0,0,0,3,1765
757,0,良,10.01,3,210,80,70,0,0,300,10,240,98.33,7,27
758,0,优,6.95,1,70,70,70,0,0,30,30,21,21,10,57
759,0,优,10.44,3,20,20,20,20,20,100,100,20,20,0,0
760,0,良,7.3,7,32,20,8,0,0,15000,50,2240,601.25,5,709
761,0,,3.66,4,10,10,10,10,10,50,50,5,5,7,915
762,0,优,8.32,2,0,0,0,0,0,0,0,0,0,7,260
763,0,良,3.76,1,60,60,60,0,0,50,50,30,30,12,245
764,0,,11.98,7,58.17,50,29.09,50,50,310,300,155,89.75,16,27
765,0,优,3.18,5,340,100,68,60,60,1000,50,450,133,0,0
766,0,良,10.22,2,194.57,100,97.28,0,0,2189,552,2189,1355.5,27,29
767,0,,15.35,2,100,60,50,0,0,3000,1500,1200,1050,0,0
768,0,优,2.98,2,160,80,80,160,80,500,50,400,220,0,0
769,0,良,16.41,9,302.47,100,37.81,9,9,13350,0,913,264.32,3,90
770,0,优,5.57,3,141,90,70.5,0,0,2000,100,1800,925.5,2,1187
771,0,优,12.02,6,119.17,64.9,39.72,0,0,10456.42,50,6490,2655.53,4,227
772,0,良,1.97,2,219.5,97.83,73.17,0,0,800,30,440,190.83,0,0
773,0,优,7.52,1,70,70,70,0,0,530,530,371,371,0,0
774,0,优,4.24,5,270,100,90,0,0,1000,10,1000,344.33,8,363
775,0,,8.36,5,67,30,22.33,30,30,500,10,135,49.33,0,0
776,0,优,9.13,8,261.5,95,37.36,74,50,2000,30,1400,318.57,32,129
777,0,优,3.19,1,30,30,30,0,0,500,500,150,150,11,125
778,0,良,10.05,4,100,100,100,0,0,2800,2800,2800,2800,3,1082
779,0,优,6.41,2,100,100,100,0,0,100,100,100,100,22,68
780,0,优,0.68,1,100,100,100,0,0,1000,1000,1000,1000,0,0
781,0,良,9.02,3,114.28,50,38.09,50,50,502,10,251,85.81,0,0
782,0,良,13.2,10,408.51,100,40.85,86,51,1300,10,390,96.63,0,0
783,0,优,9.96,4,50,50,50,0,0,1000,1000,500,500,14,142
784,0,良,12.31,1,0,0,0,0,0,0,0,0,0,1,592
785,0,良,10.62,3,175,50,43.75,25,25,100,0,52.5,24.38,8,39
786,0,,1.98,1,0,0,0,0,0,0,0,0,0,0,0
787,0,,5.17,3,198,100,66,0,0,50,20,50,28.1,0,0
788,0,,21.41,1,0,0,0,0,0,0,0,0,0,15,604
789,0,优,16.67,6,50,50,25,50,50,89397.8686,100,50,50,23,287
790,0,良,15.71,2,100,100,100,0,0,150,150,150,150,0,0
791,0,优,2.54,3,199.8,100,99.9,100,100,500,0,499,252,0,0
792,0,优,12.32,4,243.33,100,60.83,0,0,1400,30,700,198.33,0,0
793,0,良,16.92,4,290.32,100,72.58,0,0,7000,100,2035,996.25,5,602
794,0,优,18.12,1,0,0,0,0,0,0,0,0,0,2,561
795,0,优,1.92,2,95,95,95,0,0,100,100,95,95,0,0
796,0,良,2.77,9,453.99,100,90.8,155,80,4600,60,4554,1742.84,0,0
797,0,优,11.08,3,130,100,65,0,0,5000,1200,5000,2680,12,115
798,0,优,1.48,4,22,22,22,0,0,500,500,110,110,7,378
799,0,良,14.59,0,0,0,0,0,0,0,0,0,0,48,35
800,0,良,14.72,2,100,100,100,0,0,520,520,520,520,0,0
801,0,优,16.53,3,0,0,0,0,0,0,0,0,0,0,0
802,0,良,17.8,13,7,5,3.5,0,0,1587.5,30,79.375,39.99,6,650
803,0,优,3.61,1,0,0,0,0,0,0,0,0,0,0,0
804,0,,3.87,4,165,100,55,65,50,228,10,100,46.4,3,614
805,0,良,1.47,2,80,80,80,0,0,300,300,240,240,0,0
806,0,,3.39,1,53.85,53.85,53.85,0,0,650,650,350,350,0,0
807,0,优,6.46,1,90,90,90,0,0,500,500,450,450,7,1488
808,0,良,6.21,3,100,98,50,98,98,50,50,49,25,9,217
809,0,优,6.28,1,85,85,85,0,0,100,100,85,85,9,48
810,0,优,1.77,3,0,0,0,0,0,0,0,0,0,2,408
811,0,良,13.45,17,475.5,95,59.44,185,95,10000,50,1425,614.38,2,1304
812,0,,29.13,2,68.33,35,22.78,33.33,33.33,200,3,70,35.5,5,386
813,0,优,2.95,5,240,99,80,0,0,1000,100,990,377,3,626
814,0,良,0.23,5,225,55,45,0,0,4080,3,1224,373.1,0,0
815,0,,15.23,1,67,67,67,0,0,100,100,67,67,3,311
816,0,优,4.8,2,150,100,75,150,100,150,50,150,87.5,0,0
817,0,,8.86,9,305.56,90,50.93,30,30,1000,30,120,61.17,0,0
818,0,优,7.67,2,43,43,43,0,0,5013,5013,2155.59,2155.59,12,224
819,1,优,19.06,6,240,90,60,100,60,100,20,50,31.75,3,217
820,0,良,17.18,2,95,95,95,0,0,30,30,28.5,28.5,9,27
821,0,,6.77,5,150,100,50,0,0,500,100,500,193.33,17,562
822,0,优,3.55,4,280,100,93.33,180,90,100,50,100,63.33,0,0
823,0,良,10.96,14,282.25,100,31.36,48.16,30,6195.82,50,3000,804.88,0,0
824,0,,10.32,8,446,100,49.56,0,0,500,10,200,56.17,10,96
825,0,优,4.66,17,1214.32,100,60.72,647,100,1500,1,989.8,105.56,18,43
826,0,良,19.22,2,54,34,27,20,20,350,50,119,64.5,6,277
827,0,,13.52,3,0,0,0,0,0,0,0,0,0,4,139
828,0,优,9.06,7,98,98,98,0,0,500,500,490,490,27,1
829,0,良,7.01,1,50,50,50,0,0,50,50,25,25,0,0
830,0,,0.84,1,0,0,0,0,0,0,0,0,0,1,101
831,0,优,9.84,2,125,75,62.5,50,50,101,50,75.75,50.38,0,0
832,1,优,1.5,0,0,0,0,0,0,0,0,0,0,0,0
833,0,,16.88,6,0,0,0,0,0,0,0,0,0,0,0
834,0,优,11.8,1,0,0,0,0,0,0,0,0,0,5,467
835,0,良,16.45,4,180,100,90,100,100,40,18,32,25,10,308
836,0,优,1.56,3,0,0,0,0,0,0,0,0,0,4,34
837,1,优,3.38,1,80,80,80,0,0,2000,2000,1600,1600,5,141
838,0,良,2.56,1,100,100,100,0,0,100,100,100,100,13,136
839,0,,6.58,3,250,100,83.33,100,100,2100,14,2100,734.67,0,0
840,0,优,6.51,1,0,0,0,0,0,0,0,0,0,2,7
841,0,良,5.67,6,93.3,80,31.1,12.1,12.1,2500,100,80,40.7,0,0
842,0,,5.2,3,105,90,52.5,0,0,50,5,7.5,6,0,0
843,0,优,5.79,2,63,33,31.5,0,0,15000,5000,4950,2775,0,0
844,0,良,1.35,1,10,10,10,0,0,1000,1000,100,100,0,0
845,0,,5.06,1,0,0,0,0,0,0,0,0,0,0,0
846,0,优,2.03,4,96.6,50,48.3,46.6,46.6,50,50,25,24.15,0,0
847,0,良,11.52,7,99,99,99,0,0,1000,1000,990,990,0,0
848,0,优,5.32,2,100,50,50,0,0,1000,50,500,262.5,13,303
849,0,优,11.86,8,0,0,0,0,0,0,0,0,0,9,179
850,0,良,3.93,2,0,0,0,0,0,0,0,0,0,0,0
851,0,良,7.69,4,0,0,0,0,0,0,0,0,0,0,0
852,1,优,10.89,2,140.04,100,70.02,0,0,5500,1500,5500,3050.26,17,425
853,0,良,6.69,7,250,80,50,80,80,1038,10,726.6,160.76,1,343
854,0,优,16.65,1,100,100,100,0,0,0,0,28,28,0,0
855,0,优,8.24,2,120,70,60,0,0,800,500,560,405,0,0
856,0,良,11.24,4,139.06,44,34.77,20,20,10010,30,3520,1738.38,67,114
857,0,,14.24,1,65,35,32.5,30,30,100,5,35,18.25,0,0
858,0,优,3.07,2,100,100,100,0,0,50,50,50,50,16,421
859,0,良,7.84,6,225,100,56.25,25,25,1500,60,1500,503.75,0,0
860,0,,1.07,3,194.9,99.9,97.45,0,0,1000,100,999,547,10,23
861,1,优,9.31,10,332.89,96.33,55.48,120,70,3000,6,1800,379.53,2,129
862,0,良,12.68,1,92,88,46,0,0,200,80,70.4,39.2,16,195
863,0,优,11.4,1,15,15,15,0,0,500,500,75,75,0,0
864,0,优,7.68,3,110,75,36.67,25,25,1200,20,900,303.37,0,0
865,1,优,15.64,2,100,100,100,0,0,50,50,50,50,0,0
866,0,良,0.3,3,150,100,75,0,0,100,50,50,50,0,0
867,0,优,12.96,0,80,80,80,0,0,6000,6000,4800,4800,0,0
868,0,良,16.23,1,120,100,60,0,0,200,100,100,70,13,469
869,0,优,2.81,2,119,70,59.5,49,49,1000,300,490,350,5,536
870,1,优,4.86,2,0,0,0,0,0,1000,1000,0,0,0,0
871,0,良,0.07,2,40,40,40,40,40,150,150,60,60,0,0
872,0,优,8.57,1,0,0,0,0,0,0,0,0,0,0,0
873,0,优,4.27,2,95,70,47.5,25,25,2000,30,500,260.5,0,0
874,0,良,6.82,1,,97,97,0,0,30,30,29.1,29.1,3,1019
875,0,良,5.76,1,,98,98,0,0,3000,3000,2940,2940,21,157
